pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Campaign 6,Campaign 7,Campaign 8,Campaign 9,Campaign 10,Campaign 11,Campaign 12,Campaign 13,Campaign 14,Campaign 15
31,254612758,5988925319818253696,,0.5939,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,,TIC-254612758-12-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-254612758-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-254612758-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,364291454,5996407565146180992,,0.3495,0.406,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,,TIC-364291454-12-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,147828926,5999293989334501888,,0.4973,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,,TIC-147828926-12-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-147828926-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-147828926-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,176205621,6001888939853401728,,0.4258,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,,TIC-176205621-12-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-176205621-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-176205621-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,276502773,6004379539837518080,,0.5553,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-276502773-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-276502773-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-276502773-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,99207324,6011565879115186816,,0.7912,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,,TIC-99207324-12-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-99207324-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-99207324-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,310720311,6053706655144658688,,0.6651,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-310720311-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-310720311-37-FFI-10min,TIC-310720311-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-310720311-64-SPOC-120,TIC-310720311-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,405970436,6056701037640956288,,0.5772,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-405970436-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-405970436-37-FFI-10min,TIC-405970436-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-405970436-64-FFI-200s,TIC-405970436-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,406040223,6057147611155597440,,0.3242,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-406040223-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-406040223-37-FFI-10min,TIC-406040223-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-406040223-64-SPOC-120,TIC-406040223-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,207621404,6064353054428529152,,0.4514,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-207621404-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-207621404-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-207621404-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
