pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,tess_sectors,K2_campaign
36,99207324,6011565879115186816,,0.7912,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 65 QLP 200s TESS Sector 12 GSFC-ELEANOR-LITE 1800s TESS Sector 38 CDIPS 1800s ,
37,310720311,6053706655144658688,,0.6651,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 64 SPOC 120s TESS Sector 11 TESS-SPOC 1800s TESS Sector 37 TESS-SPOC 600s TESS Sector 38 TESS-SPOC 600s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 11 CDIPS 1800s TESS Sector 38 CDIPS 1800s TESS Sector 37 CDIPS 1800s ,
38,405970436,6056701037640956288,,0.5772,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
39,406040223,6057147611155597440,,0.3242,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 65 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
40,207621404,6064353054428529152,,0.4514,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
41,405695928,6073671037505307904,,1.3392,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 37 SPOC 120s TESS Sector 38 SPOC 120s TESS Sector 37 TESS-SPOC 600s TESS Sector 38 TESS-SPOC 600s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
42,273821594,6074279754632630272,,0.6642,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
43,419779703,6074797246644014720,,0.3689,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
44,398768350,6075429981240520704,,0.4899,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
45,288093002,6076050346312676608,,0.4315,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
46,161734785,6079297818307636096,,0.3487,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
47,165904363,6079467216120374784,,1.4963,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 64 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
48,404335106,6081131979803083136,,2.9329,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
