nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
24,302417238,3389908598860532224,thor,7,43,SPOC-120,TIC-302417238-43-SPOC-120
29,52583022,3341238918520502912,Thor,7,43,SPOC-120,TIC-52583022-43-SPOC-120
30,52373764,3341625087618092672,thor,7,43,SPOC-120,TIC-52373764-43-SPOC-120
16,389248164,3341538436653898240,thor,7,44,FFI-10min,TIC-389248164-44-FFI-10min
18,389248318,3341556922194703232,thor,7,44,SPOC-120,TIC-389248318-44-SPOC-120
23,302417241,,thor,7,44,SPOC-120,TIC-302417241-44-SPOC-120
24,302417238,3389908598860532224,thor,7,44,SPOC-120,TIC-302417238-44-SPOC-120
29,52583022,3341238918520502912,Thor,7,44,SPOC-120,TIC-52583022-44-SPOC-120
30,52373764,3341625087618092672,thor,7,44,SPOC-120,TIC-52373764-44-SPOC-120
16,389248164,3341538436653898240,thor,7,45,FFI-10min,TIC-389248164-45-FFI-10min
18,389248318,3341556922194703232,thor,7,45,SPOC-120,TIC-389248318-45-SPOC-120
23,302417241,,thor,7,45,SPOC-120,TIC-302417241-45-SPOC-120
24,302417238,3389908598860532224,thor,7,45,SPOC-120,TIC-302417238-45-SPOC-120
29,52583022,3341238918520502912,Thor,7,45,SPOC-120,TIC-52583022-45-SPOC-120
30,52373764,3341625087618092672,thor,7,45,SPOC-120,TIC-52373764-45-SPOC-120
1,350559457,4767439021687332096,car,45,61,SPOC-120,TIC-350559457-61-SPOC-120
1,350559457,4767439021687332096,car,45,62,SPOC-120,TIC-350559457-62-SPOC-120
55,71029363,,twa,8,62,SPOC-120,TIC-71029363-62-SPOC-120
1,350559457,4767439021687332096,car,45,63,SPOC-120,TIC-350559457-63-SPOC-120
33,152176559,5396105586807802880,twa,5,63,SPOC-120,TIC-152176559-63-SPOC-120
34,429152614,3485098646237003136,twa,7,63,FFI-200s,TIC-429152614-63-FFI-200s
35,57513388,5398663566249861120,twa,6,63,SPOC-120,TIC-57513388-63-SPOC-120
36,29847084,5400050222210919680,twa,7,63,FFI-200s,TIC-29847084-63-FFI-200s
37,23325655,5452498541764280832,twa,5,63,SPOC-120,TIC-23325655-63-SPOC-120
38,20414865,3532218595001808768,twa,5,63,FFI-200s,TIC-20414865-63-FFI-200s
39,429152610,3485098646237003392,twa,7,63,SPOC-120,TIC-429152610-63-SPOC-120
42,142391477,3466308095597260032,twa,6,63,SPOC-120,TIC-142391477-63-SPOC-120
43,272349442,5355751581627180288,twa,8,63,SPOC-120,TIC-272349442-63-SPOC-120
47,188172972,5470330146463996032,twa,5,63,FFI-200s,TIC-188172972-63-FFI-200s
50,91474691,5348165127505382400,twa,7,63,FFI-200s,TIC-91474691-63-FFI-200s
52,54147487,5444751795151480320,twa,6,63,FFI-200s,TIC-54147487-63-FFI-200s
55,71029363,,twa,8,63,SPOC-120,TIC-71029363-63-SPOC-120
56,180258068,3567379121431731328,twa,4,63,FFI-200s,TIC-180258068-63-FFI-200s
57,345135733,3463395519358168064,twa,6,63,SPOC-120,TIC-345135733-63-SPOC-120
58,102462453,5414158429569765632,twa,6,63,FFI-200s,TIC-102462453-63-FFI-200s
59,151764983,,twa,7,63,FFI-200s,TIC-151764983-63-FFI-200s
1,350559457,4767439021687332096,car,45,64,SPOC-120,TIC-350559457-64-SPOC-120
3,327549481,5855642348500099072,epsc,7,64,FFI-200s,TIC-327549481-64-FFI-200s
4,454335224,5227840175588831744,epsc,6,64,FFI-200s,TIC-454335224-64-FFI-200s
