pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
40,TIC-207621404-11-FFI-30min,TIC,207621404,11,FFI,30min,0.05765385316209204
40,TIC-207621404-38-FFI-10min,TIC,207621404,38,FFI,10min,0.05186569898307902
40,TIC-207621404-65-SPOC-120,TIC,207621404,65,SPOC,120,0.16051081418991076
41,TIC-405695928-11-FFI-30min,TIC,405695928,11,FFI,30min,0.01914264043046865
41,TIC-405695928-37-SPOC-120,TIC,405695928,37,SPOC,120,0.025184452533721924
41,TIC-405695928-38-SPOC-120,TIC,405695928,38,SPOC,120,0.02371097207069406
41,TIC-405695928-64-FFI-200s,TIC,405695928,64,FFI,200s,0.015420412370992675
42,TIC-273821594-10-FFI-30min,TIC,273821594,10,FFI,30min,0.007809585384036866
42,TIC-273821594-11-FFI-30min,TIC,273821594,11,FFI,30min,0.007644536984678374
42,TIC-273821594-37-FFI-10min,TIC,273821594,37,FFI,10min,0.016986838205213628
42,TIC-273821594-38-FFI-10min,TIC,273821594,38,FFI,10min,0.018032876776654216
42,TIC-273821594-64-FFI-200s,TIC,273821594,64,FFI,200s,0.009116588222499167
43,TIC-419779703-11-FFI-30min,TIC,419779703,11,FFI,30min,0.014987727984654975
43,TIC-419779703-37-FFI-10min,TIC,419779703,37,FFI,10min,0.017194559725414282
43,TIC-419779703-38-FFI-10min,TIC,419779703,38,FFI,10min,0.01596789397960463
43,TIC-419779703-64-FFI-200s,TIC,419779703,64,FFI,200s,0.017151527021781687
44,TIC-398768350-10-FFI-30min,TIC,398768350,10,FFI,30min,0.07966361563582558
44,TIC-398768350-11-FFI-30min,TIC,398768350,11,FFI,30min,0.08132518638464914
44,TIC-398768350-37-FFI-10min,TIC,398768350,37,FFI,10min,0.027884108916076067
44,TIC-398768350-64-FFI-200s,TIC,398768350,64,FFI,200s,2.369099964969113
45,TIC-288093002-10-FFI-30min,TIC,288093002,10,FFI,30min,0.051766255847937925
45,TIC-288093002-11-FFI-30min,TIC,288093002,11,FFI,30min,0.06001486408317824
45,TIC-288093002-37-FFI-10min,TIC,288093002,37,FFI,10min,0.060804230303438844
45,TIC-288093002-64-SPOC-120,TIC,288093002,64,SPOC,120,0.10747652053833012
46,TIC-161734785-10-FFI-30min,TIC,161734785,10,FFI,30min,0.0192966273510905
46,TIC-161734785-11-FFI-30min,TIC,161734785,11,FFI,30min,0.026526965470988317
46,TIC-161734785-37-FFI-10min,TIC,161734785,37,FFI,10min,0.04306564712491756
46,TIC-161734785-64-SPOC-120,TIC,161734785,64,SPOC,120,0.13661681413650517
47,TIC-165904363-10-FFI-30min,TIC,165904363,10,FFI,30min,0.0052430046186644486
47,TIC-165904363-11-FFI-30min,TIC,165904363,11,FFI,30min,0.010874264484551976
47,TIC-165904363-37-FFI-10min,TIC,165904363,37,FFI,10min,0.016192594122902526
47,TIC-165904363-64-SPOC-120,TIC,165904363,64,SPOC,120,0.034740149974823
48,TIC-404335106-11-FFI-30min,TIC,404335106,11,FFI,30min,0.007879056777861604
48,TIC-404335106-37-FFI-10min,TIC,404335106,37,FFI,10min,0.009636582284184736
48,TIC-404335106-38-FFI-10min,TIC,404335106,38,FFI,10min,
48,TIC-404335106-64-FFI-200s,TIC,404335106,64,FFI,200s,0.019725007346879875
49,TIC-404387832-11-FFI-30min,TIC,404387832,11,FFI,30min,0.02512953535734974
49,TIC-404387832-37-FFI-10min,TIC,404387832,37,FFI,10min,0.02212657281806807
49,TIC-404387832-38-FFI-10min,TIC,404387832,38,FFI,10min,0.024100593086826883
49,TIC-404387832-64-FFI-200s,TIC,404387832,64,FFI,200s,0.019024656857086097
50,TIC-328906141-11-FFI-30min,TIC,328906141,11,FFI,30min,0.022894463842015433
50,TIC-328906141-38-FFI-10min,TIC,328906141,38,FFI,10min,0.017768153829386346
50,TIC-328906141-65-SPOC-120,TIC,328906141,65,SPOC,120,0.09722121357917779
51,TIC-329694185-11-FFI-30min,TIC,329694185,11,FFI,30min,0.016776409046929674
51,TIC-329694185-38-FFI-10min,TIC,329694185,38,FFI,10min,0.013460019166990578
51,TIC-329694185-65-FFI-200s,TIC,329694185,65,FFI,200s,0.019544415806168502
52,TIC-330560000-11-FFI-30min,TIC,330560000,11,FFI,30min,0.0133671831005443
52,TIC-330560000-38-FFI-10min,TIC,330560000,38,FFI,10min,0.016558890495411482
52,TIC-330560000-65-SPOC-120,TIC,330560000,65,SPOC,120,0.28663370609283445
53,TIC-211513644-11-FFI-30min,TIC,211513644,11,FFI,30min,0.016086277691377382
53,TIC-211513644-65-SPOC-120,TIC,211513644,65,SPOC,120,0.05278034210205085
54,TIC-242407571-11-FFI-30min,TIC,242407571,11,FFI,30min,0.03652837509203555
54,TIC-242407571-38-FFI-10min,TIC,242407571,38,FFI,10min,0.04319820802913232
54,TIC-242407571-65-SPOC-120,TIC,242407571,65,SPOC,120,0.05101679563522332
55,TIC-127866051-11-FFI-30min,TIC,127866051,11,FFI,30min,0.01355539751588486
55,TIC-127866051-38-FFI-10min,TIC,127866051,38,FFI,10min,3.9904620567116216
55,TIC-127866051-65-FFI-200s,TIC,127866051,65,FFI,200s,0.0198316373585693
56,TIC-127246012-11-FFI-30min,TIC,127246012,11,FFI,30min,0.009630184082649262
56,TIC-127246012-38-FFI-10min,TIC,127246012,38,FFI,10min,0.009422853046075486
56,TIC-127246012-65-FFI-200s,TIC,127246012,65,FFI,200s,0.018943568724760995
57,TIC-129309458-11-FFI-30min,TIC,129309458,11,FFI,30min,0.022866930125743812
57,TIC-129309458-38-FFI-10min,TIC,129309458,38,FFI,10min,0.016781066172597336
57,TIC-129309458-65-FFI-200s,TIC,129309458,65,FFI,200s,0.024289702498330068
58,TIC-127309526-11-FFI-30min,TIC,127309526,11,FFI,30min,0.03296691144198738
58,TIC-127309526-38-FFI-10min,TIC,127309526,38,FFI,10min,0.03128106909800199
58,TIC-127309526-65-SPOC-120,TIC,127309526,65,SPOC,120,0.07665417790412898
59,TIC-241884143-11-FFI-30min,TIC,241884143,11,FFI,30min,0.016497640096507782
59,TIC-241884143-38-FFI-10min,TIC,241884143,38,FFI,10min,0.020395605320965626
59,TIC-241884143-65-FFI-200s,TIC,241884143,65,FFI,200s,0.023650236748686493
60,TIC-243499565-11-FFI-30min,TIC,243499565,11,FFI,30min,0.01452625992671197
60,TIC-243499565-38-SPOC-120,TIC,243499565,38,SPOC,120,0.03298717141151419
60,TIC-243499565-64-SPOC-120,TIC,243499565,64,SPOC,120,0.06999608278274538
61,TIC-243449997-11-FFI-30min,TIC,243449997,11,FFI,30min,0.036494188025302465
61,TIC-243449997-38-FFI-10min,TIC,243449997,38,FFI,10min,0.02282887113610743
61,TIC-243449997-64-FFI-200s,TIC,243449997,64,FFI,200s,0.02639558812983056
62,TIC-243611773-11-FFI-30min,TIC,243611773,11,FFI,30min,0.011779644806191869
62,TIC-243611773-38-FFI-10min,TIC,243611773,38,FFI,10min,0.010154056502493347
62,TIC-243611773-64-SPOC-120,TIC,243611773,64,SPOC,120,0.0753551721572876
63,TIC-243381460-11-FFI-30min,TIC,243381460,11,FFI,30min,0.03619187233196697
63,TIC-243381460-38-FFI-10min,TIC,243381460,38,FFI,10min,0.04562126898556684
64,TIC-179367270-11-FFI-30min,TIC,179367270,11,FFI,30min,0.021341536617842327
