pop_id,lcname,complex_status
139,EPIC-204143627-2-K2SFF-1800,Complex
139,TIC-49585759-91-SPOC-120,Double Dip
14,EPIC-203462615-2-EVEREST-1800,Complex
14,EPIC-203462615-2-K2SFF-1800,Complex
14,TIC-66750314-91-SPOC-120,Complex
140,EPIC-205483258-2-EVEREST-1800,Complex
140,EPIC-205483258-2-K2SFF-1800,Complex
140,TIC-413551134-91-SPOC-120,Double Dip
141,EPIC-204882444-2-EVEREST-1800,Complex
141,EPIC-204882444-2-K2SFF-1800,Complex
141,TIC-220604303-91-SPOC-120,Complex
142,EPIC-204787516-2-EVEREST-1800,Complex
142,EPIC-204787516-2-K2SFF-1800,Complex
142,TIC-280160269-91-FFI-200s,Complex
143,EPIC-204270520-15-EVEREST-1800,Complex
143,EPIC-204270520-15-K2SFF-1800,Complex
143,EPIC-204270520-2-EVEREST-1800,Complex
143,EPIC-204270520-2-K2SFF-1800,Complex
143,TIC-12776845-91-SPOC-120,Complex
144,EPIC-204783273-2-EVEREST-1800,Complex
144,EPIC-204783273-2-K2SFF-1800,Complex
144,TIC-49035618-91-FFI-200s,Complex
145,EPIC-203645396-2-EVEREST-1800,Complex
145,EPIC-203645396-2-K2SFF-1800,Double Dip
145,TIC-68167990-91-FFI-200s,Complex
146,EPIC-204082531-2-EVEREST-1800,Complex
146,EPIC-204082531-2-K2SFF-1800,Complex
146,TIC-49691316-91-SPOC-120,Complex
147,EPIC-204321142-2-EVEREST-1800,Complex
147,EPIC-204321142-2-K2SFF-1800,Complex
147,TIC-202876323-91-SPOC-120,Double Dip
148,EPIC-203956650-2-EVEREST-1800,Complex
148,EPIC-203956650-2-K2SFF-1800,Complex
148,TIC-175744495-91-FFI-200s,Double Dip
149,EPIC-202687442-2-EVEREST-1800,Complex
149,EPIC-202687442-2-K2SFF-1800,Complex
149,TIC-205106701-12-FFI-30min,Complex
149,TIC-205106701-39-FFI-10min,Complex
149,TIC-205106701-91-FFI-200s,Complex
15,EPIC-204066898-15-EVEREST-1800,Complex
15,EPIC-204066898-15-K2SFF-1800,Complex
15,EPIC-204066898-2-EVEREST-1800,Complex
15,EPIC-204066898-2-K2SFF-1800,Complex
15,TIC-12659333-91-SPOC-120,Complex
150,EPIC-204884822-2-EVEREST-1800,Complex
150,EPIC-204884822-2-K2SFF-1800,Complex
150,TIC-73217080-91-SPOC-120,Double Dip
151,TIC-289840928-1-SPOC-120,Complex
151,TIC-289840928-28-SPOC-120,Complex
151,TIC-289840928-68-SPOC-120,Complex
151,TIC-289840928-92-SPOC-120,Complex
152,TIC-92574021-10-FFI-30min,Complex
152,TIC-92574021-37-FFI-10min,Complex
152,TIC-92574021-63-FFI-200s,Complex
152,TIC-92574021-64-FFI-200s,Complex
152,TIC-92574021-90-FFI-200s,Complex
153,TIC-452345586-10-FFI-30min,Double Dip
153,TIC-452345586-11-FFI-30min,Complex
153,TIC-452345586-37-FFI-10min,Double Dip
153,TIC-452345586-64-FFI-200s,Double Dip
154,TIC-379774242-11-FFI-30min,Complex
154,TIC-379774242-37-FFI-10min,Complex
154,TIC-379774242-38-FFI-10min,Complex
154,TIC-379774242-64-FFI-200s,Complex
154,TIC-379774242-65-FFI-200s,Complex
