pop_id,lcname,idtype,ID,secorcamp,LC_author,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,group,age_Myr,disco_paper,paper_author,year,Score,Flare,Shelf,Evolution,Notes,per_col
28,TIC-435899024-64-SPOC-120,TIC,435899024,64,SPOC,120,0.2255194902,435899024,5861945711251717888,,0.3634,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,2,1,1,Crazy flare and huge shelf,one
28,TIC-435899024-65-SPOC-120,TIC,435899024,65,SPOC,120,0.174696368,435899024,5861945711251717888,,0.3634,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,1,,one
29,TIC-973449111-11-FFI-30min,TIC,973449111,11,FFI,30min,0.010876215,973449111,5868286560427916160,,0.621,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
29,TIC-973449111-38-FFI-10min,TIC,973449111,38,FFI,10min,0.006684163,973449111,5868286560427916160,,0.621,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
29,TIC-973449111-64-SPOC-120,TIC,973449111,64,SPOC,120,0.072780049,973449111,5868286560427916160,,0.621,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,2,0,0,,one
29,TIC-973449111-65-SPOC-120,TIC,973449111,65,SPOC,120,0.066069269,973449111,5868286560427916160,,0.621,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
30,TIC-309321971-11-FFI-30min,TIC,309321971,11,FFI,30min,0.018790689,309321971,5901773217829654912,,0.6314,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,2,1,1,,one
30,TIC-309321971-38-FFI-10min,TIC,309321971,38,FFI,10min,0.020248815,309321971,5901773217829654912,,0.6314,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,2,1,1,Flare affecting shelf,one
30,TIC-309321971-65-FFI-200s,TIC,309321971,65,FFI,200s,0.017097608,309321971,5901773217829654912,,0.6314,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,1,1,Literature period a little off,one
31,TIC-254612758-12-FFI-30min,TIC,254612758,12,FFI,30min,0.010899131,254612758,5988925319818253696,,0.5939,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,Reverse flare?,one
31,TIC-254612758-38-FFI-10min,TIC,254612758,38,FFI,10min,0.010809438,254612758,5988925319818253696,,0.5939,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,1,,one
31,TIC-254612758-65-SPOC-120,TIC,254612758,65,SPOC,120,0.042815799,254612758,5988925319818253696,,0.5939,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,Noisy,one
32,TIC-364291454-12-FFI-30min,TIC,364291454,12,FFI,30min,0.024209085,364291454,5996407565146180992,,0.3495,UCL/LCC,16.0,Rebull_2022,Rebull,2022,1,0,0,0,,one
33,TIC-147828926-12-FFI-30min,TIC,147828926,12,FFI,30min,0.056221176,147828926,5999293989334501888,,0.4973,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,1,0,,one
33,TIC-147828926-38-FFI-10min,TIC,147828926,38,FFI,10min,0.064792872,147828926,5999293989334501888,,0.4973,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,1,,one
33,TIC-147828926-65-FFI-200s,TIC,147828926,65,FFI,200s,0.039686547,147828926,5999293989334501888,,0.4973,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,2,1,1,,one
34,TIC-176205621-12-FFI-30min,TIC,176205621,12,FFI,30min,0.030512813,176205621,6001888939853401728,,0.4258,UCL/LCC,16.0,Rebull_2022,Rebull,2022,1,0,0,0,,one
34,TIC-176205621-38-FFI-10min,TIC,176205621,38,FFI,10min,0.027254161,176205621,6001888939853401728,,0.4258,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,1,1,,one
34,TIC-176205621-65-FFI-200s,TIC,176205621,65,FFI,200s,0.019620432,176205621,6001888939853401728,,0.4258,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,0,0,,one
35,TIC-276502773-11-FFI-30min,TIC,276502773,11,FFI,30min,0.012941134,276502773,6004379539837518080,,0.5553,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,1,,one
35,TIC-276502773-38-FFI-10min,TIC,276502773,38,FFI,10min,0.009165021,276502773,6004379539837518080,,0.5553,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,1,1,,one
35,TIC-276502773-65-FFI-200s,TIC,276502773,65,FFI,200s,0.016111215,276502773,6004379539837518080,,0.5553,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,1,,one
36,TIC-99207324-12-FFI-30min,TIC,99207324,12,FFI,30min,0.017009493,99207324,6011565879115186816,,0.7912,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
36,TIC-99207324-38-FFI-10min,TIC,99207324,38,FFI,10min,0.017161098,99207324,6011565879115186816,,0.7912,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
36,TIC-99207324-65-SPOC-120,TIC,99207324,65,SPOC,120,0.1152059436,99207324,6011565879115186816,,0.7912,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
37,TIC-310720311-11-FFI-30min,TIC,310720311,11,FFI,30min,0.056573645,310720311,6053706655144658688,,0.6651,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,1,1,,one
37,TIC-310720311-37-FFI-10min,TIC,310720311,37,FFI,10min,0.098781527,310720311,6053706655144658688,,0.6651,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,1,,one
37,TIC-310720311-38-FFI-10min,TIC,310720311,38,FFI,10min,0.1068111237,310720311,6053706655144658688,,0.6651,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
37,TIC-310720311-64-SPOC-120,TIC,310720311,64,SPOC,120,0.2230530143,310720311,6053706655144658688,,0.6651,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,high RUWE to not have a second period,one
37,TIC-310720311-65-SPOC-120,TIC,310720311,65,SPOC,120,0.196440566,310720311,6053706655144658688,,0.6651,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
38,TIC-405970436-11-FFI-30min,TIC,405970436,11,FFI,30min,0.020539934,405970436,6056701037640956288,,0.5772,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,0,,one
38,TIC-405970436-37-FFI-10min,TIC,405970436,37,FFI,10min,0.012918204,405970436,6056701037640956288,,0.5772,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,0,1,,one
38,TIC-405970436-38-FFI-10min,TIC,405970436,38,FFI,10min,0.015845714,405970436,6056701037640956288,,0.5772,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,1,,one
38,TIC-405970436-64-FFI-200s,TIC,405970436,64,FFI,200s,0.018952387,405970436,6056701037640956288,,0.5772,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,0,0,,one
38,TIC-405970436-65-FFI-200s,TIC,405970436,65,FFI,200s,0.015205977,405970436,6056701037640956288,,0.5772,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,0,0,,one
39,TIC-406040223-11-FFI-30min,TIC,406040223,11,FFI,30min,0.050948651,406040223,6057147611155597440,,0.3242,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,1,,one
39,TIC-406040223-37-FFI-10min,TIC,406040223,37,FFI,10min,0.025436794,406040223,6057147611155597440,,0.3242,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,1,1,,one
39,TIC-406040223-38-FFI-10min,TIC,406040223,38,FFI,10min,0.029194605,406040223,6057147611155597440,,0.3242,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,Literature period slightly off perhaps,one
39,TIC-406040223-64-SPOC-120,TIC,406040223,64,SPOC,120,0.2544753432,406040223,6057147611155597440,,0.3242,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
39,TIC-406040223-65-SPOC-120,TIC,406040223,65,SPOC,120,0.2404993176,406040223,6057147611155597440,,0.3242,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
40,TIC-207621404-11-FFI-30min,TIC,207621404,11,FFI,30min,0.057653853,207621404,6064353054428529152,,0.4514,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,1,1,,one
